Designator,Mid X,Mid Y,Rotation,Layer
C1,145.45,-62.419848,180.0,top
C10,155.1,-56.15,90.0,top
C11,152.5,-67.3,270.0,top
C12,156.05,-64.75,270.0,top
C13,159.800001,-66.9,270.0,top
C14,158.800001,-66.9,270.0,top
C15,157.8,-66.9,270.0,top
C2,145.45,-61.45,180.0,top
C3,145.45,-64.4,180.0,top
C4,154.6,-65.25,0.0,top
C5,145.45,-63.4,180.0,top
C6,154.6,-64.249999,0.0,top
C7,152.0,-54.25,90.0,top
C8,154.8,-54.25,90.0,top
C9,154.18,-71.52,180.0,top
D1,149.5,-69.6,270.0,top
D2,152.0,-57.0,270.0,top
J1,147.69,-56.21,180.0,top
J2,158.23,-56.21,180.0,top
LED1,156.6075,-71.95,90.0,top
M1,146.95,-71.65,270.0,top
Q1,145.75,-67.05,270.0,top
R1,145.45,-60.4,0.0,top
R12,154.6,-63.0,180.0,top
R13,154.6,-61.7,180.0,top
R14,148.0,-67.4,90.0,top
R2,154.2,-70.29,180.0,top
R3,154.2,-72.53,180.0,top
R4,154.2,-73.61,180.0,top
R5,150.0,-67.4,90.0,top
R6,154.1,-56.15,270.0,top
R7,149.0,-67.4,270.0,top
R9,151.0,-67.4,90.0,top
SW1,158.25,-60.39,0.0,top
SW2,151.0,-72.1,90.0,top
U1,150.05,-62.5,180.0,top
U2,153.4,-54.25,180.0,top
U3,154.6,-58.4,90.0,top
U4,155.1,-67.735,180.0,top
U5,158.7,-64.5,180.0,top
